Date,Time,Temperature,Humidity
17.04.2024,18:30:00,-6.82051,41.7491
17.04.2024,19:00:00,-7.14042,40.58
17.04.2024,19:30:00,-7.14042,42.2497
17.04.2024,20:00:00,-7.12088,43.9194
17.04.2024,20:30:00,-6.46154,47.6297
17.04.2024,21:00:00,-6.48107,45.1786
17.04.2024,21:30:00,-8.03175,45.4396
17.04.2024,22:00:00,-8.41026,50.7585
17.04.2024,22:30:00,-9.84127,62.7991
17.04.2024,23:00:00,-10.3516,62.8495
17.04.2024,23:30:00,-11.6606,62.439
18.04.2024,00:00:00,-11.8413,60.5998
18.04.2024,00:30:00,-11.5824,60.4396
18.04.2024,01:00:00,-12.022,61.369
18.04.2024,01:30:00,-13.4115,68.4188
18.04.2024,02:00:00,-12.591,66.8498
18.04.2024,02:30:00,-12.7009,66.4393
18.04.2024,03:00:00,-13.4921,71.6896
18.04.2024,03:30:00,-13.0818,68.4692
18.04.2024,04:00:00,-12.6813,65.609
18.04.2024,04:30:00,-11.7607,60.5098
18.04.2024,05:00:00,-11.602,59.5894
18.04.2024,05:30:00,-11.3504,58.7988
18.04.2024,06:00:00,-11.3309,58.5699
18.04.2024,06:30:00,-11.6215,58.7088
18.04.2024,07:00:00,-12.21,62.439
18.04.2024,07:30:00,-11.812,61.3385
18.04.2024,08:00:00,-10.1123,54.2094
18.04.2024,08:30:00,-8.75214,51.2195
18.04.2024,09:00:00,-8.89133,52.529
18.04.2024,09:30:00,-6.10012,41.4988
18.04.2024,10:00:00,-7.47009,47.6099
18.04.2024,10:30:00,-7.12088,58.8889
18.04.2024,11:00:00,-5.52137,39.5192
18.04.2024,11:30:00,-5.15018,41.2195
18.04.2024,12:00:00,-5.65079,40.7295
18.04.2024,12:30:00,-4.94017,42.7793
18.04.2024,13:00:00,-7.44078,53.37
18.04.2024,13:30:00,-6.65202,51.5598
18.04.2024,14:00:00,-7.17216,47.0589
18.04.2024,14:30:00,-7.38217,46.7292
18.04.2024,15:00:00,-8.48108,49.2399
18.04.2024,15:30:00,-5.25031,43.7088
18.04.2024,16:00:00,-5.90232,46.659
18.04.2024,16:30:00,-6.14164,50.3785
18.04.2024,17:00:00,-4.72039,47.0589
18.04.2024,17:30:00,-8.55189,60.6197
18.04.2024,18:00:00,-6.97192,47.7488
18.04.2024,18:30:00,-6.04151,44.5498
18.04.2024,19:00:00,-7.07204,46.9185
18.04.2024,19:30:00,-7.5409,51.5888
18.04.2024,20:00:00,-9.05006,58.4188
18.04.2024,20:30:00,-9.11111,59.8397
18.04.2024,21:00:00,-8.92064,56.3187
18.04.2024,21:30:00,-8.34188,54.8199
18.04.2024,22:00:00,-8.27106,53.8294
18.04.2024,22:30:00,-9.23077,58.7988
18.04.2024,23:00:00,-9.50183,61.0485
18.04.2024,23:30:00,-10.21,63.1792
19.04.2024,00:00:00,-11.1502,66.9185
19.04.2024,00:30:00,-11.5311,68.5089
19.04.2024,01:00:00,-11.812,69.7497
19.04.2024,01:30:00,-11.7021,68.8385
19.04.2024,02:00:00,-13.4921,82.1291
19.04.2024,02:30:00,-13.221,82.2985
19.04.2024,03:00:00,-13.2918,79.9191
19.04.2024,03:30:00,-13.8022,79.0598
19.04.2024,04:00:00,-13.1111,73.9896
19.04.2024,04:30:00,-13.6606,78.4096
19.04.2024,05:00:00,-13.2015,75.119
19.04.2024,05:30:00,-12.3712,70.0687
19.04.2024,06:00:00,-12.022,67.3199
19.04.2024,06:30:00,-12.2515,68.4997
19.04.2024,07:00:00,-11.9414,65.1694
19.04.2024,07:30:00,-11.4212,63.1197
19.04.2024,08:00:00,-10.5201,60.1999
19.04.2024,08:30:00,-9.71184,57.2192
19.04.2024,09:00:00,-9.44078,56.3797
19.04.2024,09:30:00,-10.4908,59.3498
19.04.2024,10:00:00,-9.61172,57.2695
19.04.2024,10:30:00,-9.66056,56.659
19.04.2024,11:00:00,-9.06227,55.6685
19.04.2024,11:30:00,-8.43223,52.5
19.04.2024,12:00:00,-7.79243,48.1685
19.04.2024,12:30:00,-6.38095,45.7494
19.04.2024,13:00:00,-7.91209,51.9597
19.04.2024,13:30:00,-6.83028,49.2491
19.04.2024,14:00:00,-3.52137,39.649
19.04.2024,14:30:00,-9.5409,63.1685
19.04.2024,15:00:00,-11.1111,68.5089
19.04.2024,15:30:00,-8.36142,53.1899
19.04.2024,16:00:00,-9.58242,63.8492
19.04.2024,16:30:00,-8.50061,68.6493
19.04.2024,17:00:00,-8.77167,74.5894
19.04.2024,17:30:00,-8.60073,76.4194
19.04.2024,18:00:00,-7.89011,74.0797
19.04.2024,18:30:00,-8.69109,79.0995
19.04.2024,19:00:00,-8.62027,77.4786
19.04.2024,19:30:00,-8.67155,76.6896
19.04.2024,20:00:00,-9.60195,82.9991
19.04.2024,20:30:00,-10.0415,85.7585
19.04.2024,21:00:00,-10.1221,89.4597
19.04.2024,21:30:00,-9.87057,86.6697
19.04.2024,22:00:00,-11.2112,93.2494
19.04.2024,22:30:00,-11.4921,91.8391
19.04.2024,23:00:00,-10.9719,90.6792
19.04.2024,23:30:00,-11.5604,92.5198
20.04.2024,00:00:00,-11.3211,92.2894
20.04.2024,00:30:00,-11.9023,91.5186
20.04.2024,01:00:00,-11.4212,93.0693
20.04.2024,01:30:00,-11.1722,92.1093
20.04.2024,02:00:00,-11.1404,91.9795
20.04.2024,02:30:00,-10.7717,90.4289
20.04.2024,03:00:00,-10.9109,90.7998
20.04.2024,03:30:00,-10.9621,91.0287
20.04.2024,04:00:00,-10.2613,90.9188
20.04.2024,04:30:00,-9.61172,87.8388
20.04.2024,05:00:00,-10.4005,90
20.04.2024,05:30:00,-10.2906,90.9295
20.04.2024,06:00:00,-9.92186,90.2686
20.04.2024,06:30:00,-9.3602,88.3791
20.04.2024,07:00:00,-11.5507,90.5998
20.04.2024,07:30:00,-11.011,91.0394
20.04.2024,08:00:00,-10.7424,90.4594
20.04.2024,08:30:00,-9.94139,88.6294
20.04.2024,09:00:00,-9.44078,83.0388
20.04.2024,09:30:00,-9.33089,82.4695
20.04.2024,10:00:00,-9.11111,82.5794
20.04.2024,10:30:00,-9.12088,81.6392
20.04.2024,11:00:00,-8.88156,81.7598
20.04.2024,11:30:00,-9.08181,82.2695
20.04.2024,12:00:00,-8.85226,80.2793
20.04.2024,12:30:00,-8.88156,81.2286
20.04.2024,13:00:00,-8.07082,76.9994
20.04.2024,13:30:00,-8.62027,78.6691
20.04.2024,14:00:00,-8.33211,76.7796
20.04.2024,14:30:00,-8.26129,76.1386
20.04.2024,15:00:00,-7.98046,76.5491
20.04.2024,15:30:00,-7.06227,74.1194
20.04.2024,16:00:00,-8.47131,79.4795
20.04.2024,16:30:00,-7.62149,72.6893
20.04.2024,17:00:00,-7.64103,72.3794
20.04.2024,17:30:00,-7.31136,70.8196
20.04.2024,18:00:00,-8.80098,75.6685
20.04.2024,18:30:00,-9.16239,76.3797
20.04.2024,19:00:00,-6.88156,68.5592
20.04.2024,19:30:00,-8.88156,76.8987
20.04.2024,20:00:00,-8.38095,74.5391
20.04.2024,20:30:00,-9.39194,79.2094
20.04.2024,21:00:00,-9.82173,79.8092
20.04.2024,21:30:00,-9.09158,77.4786
20.04.2024,22:00:00,-9.33089,78.2097
20.04.2024,22:30:00,-9.61172,77.1291
20.04.2024,23:00:00,-9.63126,79.0598
20.04.2024,23:30:00,-10.1221,80.6487
21.04.2024,00:00:00,-9.61172,79.5589
21.04.2024,00:30:00,-9.33089,78.9698
21.04.2024,01:00:00,-10.1807,81.7094
21.04.2024,01:30:00,-10.7106,84.2186
21.04.2024,02:00:00,-10.9402,84.6886
21.04.2024,02:30:00,-10.5201,82.1795
21.04.2024,03:00:00,-10.0806,81.4087
21.04.2024,03:30:00,-10.0415,77.4298
21.04.2024,04:00:00,-9.9707,78.1288
21.04.2024,04:30:00,-9.25031,70.5586
